[06-Oct-2013 19:16:18 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\Listpro.php on line 18
[08-Oct-2013 06:56:04 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')', expecting :: (T_PAAMAYIM_NEKUDOTAYIM) in D:\PHP\TWAMPd\htdocs\login_success.php on line 6
[08-Oct-2013 06:57:10 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"myusername"' (T_CONSTANT_ENCAPSED_STRING) in D:\PHP\TWAMPd\htdocs\login_success.php on line 6
[08-Oct-2013 07:03:13 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')', expecting ']' in D:\PHP\TWAMPd\htdocs\checklogin.php on line 33
[08-Oct-2013 08:17:31 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\login_success.php on line 8
[08-Oct-2013 08:56:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'print' (T_PRINT) in D:\PHP\TWAMPd\htdocs\Logout.php on line 7
[08-Oct-2013 10:25:59 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 579
[08-Oct-2013 10:29:36 Asia/Taipei] PHP Warning:  move_uploaded_file(frank_lghAdditermData/1156_0_1381199376.jpeg): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 466
[08-Oct-2013 10:29:36 Asia/Taipei] PHP Warning:  move_uploaded_file(): Unable to move 'D:\TMP\php52E8.tmp' to 'frank_lghAdditermData/1156_0_1381199376.jpeg' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 466
[08-Oct-2013 10:29:36 Asia/Taipei] PHP Warning:  file_get_contents(frank_lghAdditermData/1156_0_1381199376.jpeg): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 9
[08-Oct-2013 11:07:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 534
[08-Oct-2013 13:15:58 Asia/Taipei] PHP Fatal error:  Cannot redeclare updateflagdb() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 434
[08-Oct-2013 13:16:03 Asia/Taipei] PHP Fatal error:  Cannot redeclare updateflagdb() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 434
[08-Oct-2013 14:56:19 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 444
[08-Oct-2013 14:56:20 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 416
[08-Oct-2013 14:59:18 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 444
[08-Oct-2013 14:59:43 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 444
[08-Oct-2013 20:12:00 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 600
[08-Oct-2013 20:13:05 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 600
[08-Oct-2013 20:13:24 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 600
[08-Oct-2013 20:13:59 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 600
[09-Oct-2013 10:55:13 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'subtext' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 296
[09-Oct-2013 11:06:43 Asia/Taipei] PHP Warning:  file_get_contents(AdditermData/1221.): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 9
[09-Oct-2013 11:06:43 Asia/Taipei] PHP Warning:  file_get_contents(AdditermData/1222.): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 9
[09-Oct-2013 11:10:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')', expecting ']' in D:\PHP\TWAMPd\htdocs\library\ListproControlLib.php on line 467
[09-Oct-2013 13:14:43 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.' in D:\PHP\TWAMPd\htdocs\library\Listprolib.php on line 118
[11-Oct-2013 21:21:33 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 69
[11-Oct-2013 21:30:50 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 3
[11-Oct-2013 22:56:12 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 270
[11-Oct-2013 22:56:41 Asia/Taipei] PHP Fatal error:  Call to undefined function checkFormSubmit() in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 65
[15-Oct-2013 19:17:45 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 117
[15-Oct-2013 21:56:04 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$pos' (T_VARIABLE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 180
[15-Oct-2013 21:56:22 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$pos' (T_VARIABLE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 180
[16-Oct-2013 08:18:23 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 4
[16-Oct-2013 08:19:27 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 4
[16-Oct-2013 08:19:43 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 5
[16-Oct-2013 08:19:54 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 5
[16-Oct-2013 09:42:15 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 599
[16-Oct-2013 10:37:21 Asia/Taipei] PHP Parse error:  syntax error, unexpected '>' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 281
[16-Oct-2013 10:46:08 Asia/Taipei] PHP Parse error:  syntax error, unexpected '>' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 279
[18-Oct-2013 21:43:35 Asia/Taipei] PHP Fatal error:  Cannot redeclare mysql_fetch_all_filter_show() (previously declared in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php:133) in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 374
[18-Oct-2013 21:51:14 Asia/Taipei] PHP Fatal error:  Call to undefined function mysql_fetch_all_filter_mobile_show() in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 50
[18-Oct-2013 21:57:15 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 239
[18-Oct-2013 22:00:54 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\library\ListproShowLib.php on line 599
[19-Oct-2013 17:49:17 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 31
[19-Oct-2013 17:49:54 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 31
[19-Oct-2013 19:53:31 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 29
[19-Oct-2013 20:01:12 Asia/Taipei] PHP Fatal error:  Cannot break/continue 1 level in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 33
[19-Oct-2013 20:02:06 Asia/Taipei] PHP Warning:  Invalid argument supplied for foreach() in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 159
[19-Oct-2013 20:21:37 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 34
[19-Oct-2013 22:59:43 Asia/Taipei] PHP Warning:  Missing argument 1 for modify_show(), called in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 280 and defined in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 129
[19-Oct-2013 23:03:07 Asia/Taipei] PHP Warning:  mysql_close(): 6 is not a valid MySQL-Link resource in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 49
[19-Oct-2013 23:03:11 Asia/Taipei] PHP Warning:  mysql_close(): 6 is not a valid MySQL-Link resource in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 49
[19-Oct-2013 23:03:12 Asia/Taipei] PHP Warning:  mysql_close(): 6 is not a valid MySQL-Link resource in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 49
[19-Oct-2013 23:03:16 Asia/Taipei] PHP Warning:  mysql_close(): 6 is not a valid MySQL-Link resource in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 49
[19-Oct-2013 23:03:47 Asia/Taipei] PHP Fatal error:  Cannot use [] for reading in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 48
[19-Oct-2013 23:32:35 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 214
[19-Oct-2013 23:50:47 Asia/Taipei] PHP Warning:  unlink(AdditermData/1495_0_1382197835.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[19-Oct-2013 23:56:45 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 213
[19-Oct-2013 23:56:53 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 213
[19-Oct-2013 23:57:53 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 216
[20-Oct-2013 00:03:09 Asia/Taipei] PHP Parse error:  syntax error, unexpected '[' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 211
[20-Oct-2013 00:09:48 Asia/Taipei] PHP Parse error:  syntax error, unexpected '[' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 211
[26-Oct-2013 22:04:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'yy' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 38
[26-Oct-2013 22:05:30 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'yy' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 38
[26-Oct-2013 22:05:33 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'yy' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 38
[27-Oct-2013 22:38:21 Asia/Taipei] PHP Fatal error:  Cannot redeclare imgsrc2ahref() (previously declared in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php:144) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 190
[27-Oct-2013 22:38:40 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.', expecting '(' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 170
[27-Oct-2013 22:44:26 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 526
[28-Oct-2013 13:33:46 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 656
[28-Oct-2013 13:35:13 Asia/Taipei] PHP Parse error:  syntax error, unexpected '<' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 656
[28-Oct-2013 21:59:47 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(494): Math->evaluate('')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[28-Oct-2013 22:01:25 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(494): Math->evaluate('')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[28-Oct-2013 22:04:42 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value ''' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory('''')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse('''')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(496): Math->evaluate('''')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[28-Oct-2013 22:07:47 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value '' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory(''')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse(''12*3'')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(496): Math->evaluate(''12*3'')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[28-Oct-2013 22:13:01 Asia/Taipei] PHP Fatal error:  Uncaught exception 'Exception' with message 'Undefined Value '' in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php:26
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(21): TerminalExpression::factory(''')
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(11): Math->parse(''12*34'')
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(497): Math->evaluate(''12*34'')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\TerminalExpression.php on line 26
[28-Oct-2013 22:15:12 Asia/Taipei] PHP Parse error:  syntax error, unexpected '[' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 497
[28-Oct-2013 22:17:29 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate('')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[28-Oct-2013 22:19:16 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(498): Math->evaluate('')
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(100): additerms()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(52): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[29-Oct-2013 20:39:13 Asia/Taipei] PHP Warning:  unlink(frank_lgh/AdditermData/1681_0_1383050178.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:39:13 Asia/Taipei] PHP Warning:  unlink(frank_lgh/AdditermData/1681_1_1383050178.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:40:04 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:40:04 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:44:22 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 668
[29-Oct-2013 20:44:37 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:44:37 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:44:37 Asia/Taipei] PHP Warning:  mkdir(): File exists in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 397
[29-Oct-2013 20:49:13 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:49:13 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:49:34 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:49:34 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 204
[29-Oct-2013 20:50:05 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 20:50:05 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 20:50:17 Asia/Taipei] PHP Warning:  unlink(frank_lgh/AdditermData/1681_0_1383050135.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 20:50:17 Asia/Taipei] PHP Warning:  unlink(frank_lgh/AdditermData/1681_0_1383050168.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
[29-Oct-2013 20:50:17 Asia/Taipei] PHP Warning:  unlink(): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 198
